product_desc,price,image,link
Gold Kundan Green Beaded Dangler Earrings,700.00,https://img.faballey.com/Images/Product/ZEA00484/1.jpg,https://www.houseofindya.com/gold-kundan-green-beaded-dangler-earrings-22/iprdt
Gold Kundan Red Stone Chandbali Earrings,700.00,https://img.faballey.com/Images/Product/ZEA00486/1.jpg,https://www.houseofindya.com/gold-kundan-red-stone-chandbali-earrings-22/iprdt
Gold Crystal Studded Bangle Set,1300.00,https://img.faballey.com/Images/Product/ZBR00075/1.jpg,https://www.houseofindya.com/gold-crystal-studded-bangle-set-27/iprdt
Antique Silver Tribal Hoop Earrings,650.00,https://img.faballey.com/Images/Product/ZEA00295/1.jpg,https://www.houseofindya.com/antique-silver-tribal-hoop-earrings-22/iprdt
Gold Red Kundan Beaded Dangler Earrings,475.00,https://img.faballey.com/Images/Product/ZEA00488/1.jpg,https://www.houseofindya.com/gold-red-kundan-beaded-dangler-earrings-22/iprdt
Gold Crystal Bangle Set of 4,1475.00,https://img.faballey.com/Images/Product/ZBR00079/1.jpg,https://www.houseofindya.com/gold-traditional-crystal-bangle-set-27/iprdt
Gold Red Enamel Pearl Stud Earrings,350.00,https://img.faballey.com/Images/Product/ZEA00451/1.jpg,https://www.houseofindya.com/red-enamel-and-pearl-studs-22/iprdt
Gold Kundan Floral Drop Dangler Earrings,600.00,https://img.faballey.com/Images/Product/ZEA00480/1.jpg,https://www.houseofindya.com/gold-kundan-floral-drop-dangler-earrings-22/iprdt
Gold Black Round Stone Cuff Bracelet,700.00,https://img.faballey.com/Images/Product/ZBR00061/1.jpg,https://www.houseofindya.com/gold-black-round-stone-cuff-bracelet-27/iprdt
Gold Green Kundan Bead Dangler Earrings,975.00,https://img.faballey.com/Images/Product/ZEA00468/1.jpg,https://www.houseofindya.com/gold-green-kundan-bead-dangler-earrings-22/iprdt
Gold Pearl Drop Stud Earrings Set of 3,700.00,https://img.faballey.com/Images/Product/ZEA00440/1.jpg,https://www.houseofindya.com/gold-pearl-drop-stud-earrings-set-of-3-22/iprdt
Silver Crystal Rectangle Drop Earrings,900.00,https://img.faballey.com/Images/Product/ZEA00476/1.jpg,https://www.houseofindya.com/silver-crystal-rectangle-drop-earrings-22/iprdt
Gold Blue Enamel Jhumka Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00443/1.jpg,https://www.houseofindya.com/kundan-jhumka-with--golden-kundan-jhumka-22/iprdt
Gold Crystal Double Drop Earrings,975.00,https://img.faballey.com/Images/Product/ZEA00477/1.jpg,https://www.houseofindya.com/gold-crystal-double-drop-earrings-22/iprdt
Gold Kundan Floral Stud Pearl Drop Dangler Earrings,625.00,https://img.faballey.com/Images/Product/ZEA00482/1.jpg,https://www.houseofindya.com/gold-kundan-floral-stud-pearl-drop-dangler-earrings-22/iprdt
Silver Falling Drop Oxidized Bangle Set,700.00,https://img.faballey.com/Images/Product/ZBR00055/1.jpg,https://www.houseofindya.com/silver-falling-drop-oxidized-bangle-set-27/iprdt
Gold White Crystal Orb Bangle Set,1300.00,https://img.faballey.com/Images/Product/ZBR00076/1.jpg,https://www.houseofindya.com/gold-white-crystal-orb-bangle-set-27/iprdt
Gold Maroon Kundan Floral Beaded Maang Tikka,650.00,https://img.faballey.com/Images/Product/ZMT00039/1.jpg,https://www.houseofindya.com/gold-maroon-kundan-floral-beaded-maang-tikka-22/iprdt
Blush Pink Crystal Bangle Set,1350.00,https://img.faballey.com/Images/Product/ZBR00078/1.jpg,https://www.houseofindya.com/blush-pink-crystal-bangle-set-27/iprdt
Silver Crystal Pearl Circular Stud Earrings,1100.00,https://img.faballey.com/Images/Product/ZEA00478/1.jpg,https://www.houseofindya.com/silver-crystal-pearl-circular-stud-earrings-22/iprdt
Gold Green Disc Drop Hammered Dangler Earrings,575.00,https://img.faballey.com/Images/Product/ZEA00433/1.jpg,https://www.houseofindya.com/gold-green-disc-drop-hammered-dangler-earrings-22/iprdt
Gold Green Enamel Kundan Jhumka Earrings,600.00,https://img.faballey.com/Images/Product/ZEA00449/1.jpg,https://www.houseofindya.com/kundan-and-enamel-jhumka-with-pearl-22/iprdt
Gold Green Floral Chain Dangler Earrings,950.00,https://img.faballey.com/Images/Product/ZEA00465/1.jpg,https://www.houseofindya.com/gold-green-floral-chain-dangler-earrings-22/iprdt
Gold Green Kundan Beaded Bracelet,900.00,https://img.faballey.com/Images/Product/ZBR00069/1.jpg,https://www.houseofindya.com/gold-green-kundan-beaded-bracelet-22/iprdt
Gold Pearl Studded Bangle Set,1250.00,https://img.faballey.com/Images/Product/ZBR00074/1.jpg,https://www.houseofindya.com/gold-pearl-studded-bangle-set-27/iprdt
Gold Blue Kundan Meena Chandbali Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00455/1.jpg,https://www.houseofindya.com/kundan-chaandbali-with-blue-meena-and-pearl-22/iprdt
Mint Green Crystal Bangle Set,1300.00,https://img.faballey.com/Images/Product/ZBR00077/1.jpg,https://www.houseofindya.com/mint-green-crystal-bangle-set-27/iprdt
Gold Blue Textured Disc Stud Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00275/1.jpg,https://www.houseofindya.com/gold-blue-textured-disc-stud-earrings-22/iprdt
Gold Maroon Kundan Seed Bead Chand Maang Tika,600.00,https://img.faballey.com/Images/Product/ZMT00041/1.jpg,https://www.houseofindya.com/gold-maroon-kundan-seed-bead-chand-maang-tika-22/iprdt
Gold Crystal Pearl Circular Stud Earrings,1100.00,https://img.faballey.com/Images/Product/ZEA00479/1.jpg,https://www.houseofindya.com/gold-crystal-pearl-circular-stud-earrings-22/iprdt
Gold Red Kundan Drop Bead Dangler Earrings,800.00,https://img.faballey.com/Images/Product/ZEA00431/1.jpg,https://www.houseofindya.com/gold-red-kundan-drop-bead-dangler-earrings-22/iprdt
Gold Black Drop Tiered Dangler Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00436/1.jpg,https://www.houseofindya.com/gold-black-drop-tiered-dangler-earrings-22/iprdt
Gold Silver Hoop Earrings Set of 3,700.00,https://img.faballey.com/Images/Product/ZEA00337/1.jpg,https://www.houseofindya.com/2golden-and-1-silver-hoop-in-combo-22/iprdt
Gold Chain Half Circle Dangler Earrings,325.00,https://img.faballey.com/Images/Product/ZEA00394/1.jpg,https://www.houseofindya.com/gold-chain-half-circle-dangler-earrings-22/iprdt
Gold Multishape Hoop Earrings Set of 3,650.00,https://img.faballey.com/Images/Product/ZEA00338/1.jpg,https://www.houseofindya.com/3-golden-hoops-in-combo-22/iprdt
Gold Kundan Red Beads Chandbali Earrings,725.00,https://img.faballey.com/Images/Product/ZEA00470/1.jpg,https://www.houseofindya.com/kundan-mini-chaandbali-with-maroon-beads-22/iprdt
Gold Kundan Crescent Jhumki Earrings,1000.00,https://img.faballey.com/Images/Product/ZEA00305/1.jpg,https://www.houseofindya.com/gold-kundan-crescent-jhumki-earrings-22/iprdt
Gold Kundan Crystal Jhumki Earrings,700.00,https://img.faballey.com/Images/Product/ZEA00349/1.jpg,https://www.houseofindya.com/gold-kundan-crystal-jhumki-earrings-22/iprdt
Gold Textured Tie Wire Hoop Earrings,400.00,https://img.faballey.com/Images/Product/ZEA00375/1.jpg,https://www.houseofindya.com/textured-and-tiedwire-golden-hoop-22/iprdt
Gold D-Shaped Pearl Closure Hoop Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00400/1.jpg,https://www.houseofindya.com/gold-d-shaped-pearl-closure-hoop-earrings-22/iprdt
Gold Red Triangular Tasselled Dangler Earrings,450.00,https://img.faballey.com/Images/Product/ZEA00435/1.jpg,https://www.houseofindya.com/gold-red-triangular-tasselled-dangler-earrings-22/iprdt
Gold Kundan Green Drop Jhumka Earrings,925.00,https://img.faballey.com/Images/Product/ZEA00300/1.jpg,https://www.houseofindya.com/gold-kundan-green-drop-jhumka-earrings-22/iprdt
Silver Gold Sleek Hoop Earrings Set of 3,700.00,https://img.faballey.com/Images/Product/ZEA00339/1.jpg,https://www.houseofindya.com/1-golden-and-2-silver-hoops-in-combo-22/iprdt
